workload,workload_type,workload_size,workload_spread,workload_extra,algorithm,frames,time_ms_op,time_error,gc_alloc_norm_KB_op,gc_alloc_norm_error_KB
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,Clock,4,38.854,0.29,65747.495,0.001
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,Clock,8,47.689,0.689,65394.989,0.011
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,Clock,16,47.296,2.356,64708.494,0.011
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,Clock,32,47.761,0.351,63324.904,0.009
aleatorio_grande_amplo,aleatorio,grande,amplo,,Clock,4,3.972,0.266,6581.98,0.002
aleatorio_grande_amplo,aleatorio,grande,amplo,,Clock,8,4.8,0.031,6545.751,0.0
aleatorio_grande_amplo,aleatorio,grande,amplo,,Clock,16,4.769,0.034,6474.946,0.0
aleatorio_grande_amplo,aleatorio,grande,amplo,,Clock,32,5.146,0.135,6337.757,0.03
aleatorio_grande_enorme,aleatorio,grande,enorme,,Clock,4,3.422,0.031,7502.898,0.0
aleatorio_grande_enorme,aleatorio,grande,enorme,,Clock,8,4.253,0.034,7494.466,0.0
aleatorio_grande_enorme,aleatorio,grande,enorme,,Clock,16,4.581,0.039,7476.804,0.0
aleatorio_grande_enorme,aleatorio,grande,enorme,,Clock,32,4.684,0.039,7438.618,0.0
aleatorio_grande_medio,aleatorio,grande,medio,,Clock,4,2.879,0.02,2999.801,0.0
aleatorio_grande_medio,aleatorio,grande,medio,,Clock,8,3.91,0.118,2876.585,0.03
aleatorio_grande_medio,aleatorio,grande,medio,,Clock,16,3.806,0.029,2626.233,0.031
aleatorio_grande_medio,aleatorio,grande,medio,,Clock,32,3.464,0.158,2130.055,0.001
aleatorio_medio_amplo,aleatorio,medio,amplo,,Clock,4,0.37,0.022,655.456,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,Clock,8,0.441,0.004,652.425,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,Clock,16,0.458,0.003,645.933,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,Clock,32,0.457,0.004,632.917,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,Clock,4,0.322,0.004,751.143,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,Clock,8,0.376,0.003,750.44,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,Clock,16,0.415,0.004,748.823,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,Clock,32,0.437,0.004,744.792,0.0
aleatorio_medio_medio,aleatorio,medio,medio,,Clock,4,0.27,0.004,301.377,0.0
aleatorio_medio_medio,aleatorio,medio,medio,,Clock,8,0.348,0.003,288.862,0.0
