workload,workload_type,workload_size,workload_spread,workload_extra,description,algorithm,frames,page_faults,total_accesses,fault_rate_pct
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,4,484,500,96.8
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,8,459,500,91.8
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,16,416,500,83.2
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,32,359,500,71.8
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,4,484,500,96.8
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,8,457,500,91.4
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,16,416,500,83.2
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,32,363,500,72.6
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,4,476,500,95.2
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,8,457,500,91.4
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,16,422,500,84.4
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,32,354,500,70.8
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,4,484,500,96.8
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,8,458,500,91.6
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,16,418,500,83.6
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,32,357,500,71.4
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Random,4,477,500,95.4
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Random,8,458,500,91.6
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Random,16,428,500,85.6
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Random,32,351,500,70.2
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Otimo,4,412,500,82.4
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Otimo,8,362,500,72.4
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Otimo,16,296,500,59.2
aleatorio_minimo_medio,aleatorio,minimo,medio,,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Otimo,32,211,500,42.2
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",FIFO,4,391,500,78.2
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",FIFO,8,300,500,60.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",FIFO,16,99,500,19.8
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",FIFO,32,20,500,4.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,4,395,500,79.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,8,296,500,59.2
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,16,99,500,19.8
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,32,20,500,4.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,4,408,500,81.6
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,8,307,500,61.4
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,16,115,500,23.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,32,20,500,4.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,4,393,500,78.6
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,8,298,500,59.6
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,16,101,500,20.2
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,32,20,500,4.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,4,401,500,80.2
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,8,315,500,63.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,16,99,500,19.8
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,32,20,500,4.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,4,282,500,56.4
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,8,166,500,33.2
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,16,46,500,9.2
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,32,20,500,4.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,4,1923,2000,96.15
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,8,1843,2000,92.15
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,16,1698,2000,84.9
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,32,1364,2000,68.2
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,4,1923,2000,96.15
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,8,1847,2000,92.35
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,16,1696,2000,84.8
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,32,1362,2000,68.1
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,4,1912,2000,95.6
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,8,1833,2000,91.65
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,16,1688,2000,84.4
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LFU,32,1384,2000,69.2
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,4,1923,2000,96.15
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,8,1845,2000,92.25
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,16,1697,2000,84.85
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Clock,32,1356,2000,67.8
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,4,1919,2000,95.95
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,8,1852,2000,92.6
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,16,1696,2000,84.8
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Random,32,1334,2000,66.7
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,4,1629,2000,81.45
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,8,1395,2000,69.75
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,16,1092,2000,54.6
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",Otimo,32,724,2000,36.2
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,4,1598,2000,79.9
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,8,1192,2000,59.6
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,16,413,2000,20.65
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",FIFO,32,20,2000,1.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,4,1600,2000,80.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,8,1185,2000,59.25
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,16,421,2000,21.05
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LRU,32,20,2000,1.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,4,1607,2000,80.35
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,8,1218,2000,60.9
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,16,443,2000,22.15
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",LFU,32,20,2000,1.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,4,1593,2000,79.65
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,8,1202,2000,60.1
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,16,403,2000,20.15
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Clock,32,20,2000,1.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,4,1597,2000,79.85
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,8,1193,2000,59.65
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,16,390,2000,19.5
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Random,32,20,2000,1.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,4,1117,2000,55.85
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,8,654,2000,32.7
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,16,156,2000,7.8
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,"Acesso aleatorio | Pequeno (2k refs, 20 pags)",Otimo,32,20,2000,1.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,4,1986,2000,99.3
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,8,1969,2000,98.45
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,16,1930,2000,96.5
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",FIFO,32,1875,2000,93.75
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,4,1986,2000,99.3
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,8,1969,2000,98.45
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,16,1934,2000,96.7
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LRU,32,1872,2000,93.6
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,4,1991,2000,99.55
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,8,1975,2000,98.75
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,16,1944,2000,97.2
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,32,1870,2000,93.5
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,4,1986,2000,99.3
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,8,1969,2000,98.45
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,16,1931,2000,96.55
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,32,1871,2000,93.55
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,4,1987,2000,99.35
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,8,1966,2000,98.3
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,16,1950,2000,97.5
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,32,1869,2000,93.45
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,4,1837,2000,91.85
