workload,workload_type,workload_size,description,algorithm,frames,page_faults,total_accesses,fault_rate_pct
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,2,490,500,98.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,4,482,500,96.4000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,8,462,500,92.4000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,16,428,500,85.6000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,32,347,500,69.4000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,64,191,500,38.2000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",FIFO,128,100,500,20.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,2,490,500,98.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,4,482,500,96.4000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,8,464,500,92.8000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,16,425,500,85.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,32,349,500,69.8000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,64,206,500,41.2000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LRU,128,100,500,20.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,2,492,500,98.4000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,4,483,500,96.6000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,8,469,500,93.8000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,16,420,500,84.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,32,338,500,67.6000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,64,211,500,42.2000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",LFU,128,100,500,20.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,2,490,500,98.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,4,482,500,96.4000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,8,462,500,92.4000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,16,429,500,85.8000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,32,351,500,70.2000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,64,195,500,39.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Clock,128,100,500,20.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Random,2,489,500,97.8000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Random,4,480,500,96.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Random,8,455,500,91.0000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Random,16,427,500,85.4000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Random,32,352,500,70.4000
random_xs_medium,random,xs,"Acesso aleatorio | Minimo (500 refs, 100 pags)",Random,64,197,500,39.4000
